Date,Rented Bike Count,Temperature(C)
08/12/2017,230,-3.7
08/12/2017,131,-4.3
08/12/2017,99,-4.8
08/12/2017,71,-5.3
08/12/2017,84,-5.8
08/12/2017,158,-6
08/12/2017,387,-6.5
08/12/2017,780,-7
08/12/2017,395,-6.7
08/12/2017,261,-5.3
08/12/2017,310,-3.7
08/12/2017,355,-2
08/12/2017,354,-1.7
08/12/2017,350,-1.3
08/12/2017,362,-0.8
08/12/2017,401,-1.1
08/12/2017,500,-2.4
08/12/2017,752,-3.1
08/12/2017,477,-3.3
08/12/2017,384,-3.3
08/12/2017,336,-3.3
08/12/2017,347,-3.4
08/12/2017,275,-3.5
09/12/2017,267,-3.5
09/12/2017,296,-4.1
09/12/2017,237,-4.7
09/12/2017,169,-4.3
09/12/2017,96,-4.3
09/12/2017,56,-4.7
09/12/2017,76,-5.1
09/12/2017,127,-5.5
09/12/2017,222,-5.4
09/12/2017,291,-4.7
09/12/2017,273,-2.2
09/12/2017,351,0
09/12/2017,427,2.4
09/12/2017,431,3.9
09/12/2017,486,4.7
09/12/2017,569,5.2
09/12/2017,546,4.4
09/12/2017,481,3.5
09/12/2017,384,2.5
09/12/2017,275,1.5
09/12/2017,298,0.8
09/12/2017,321,-0.1
09/12/2017,289,-0.5
09/12/2017,265,-0.1
10/12/2017,326,-0.2
10/12/2017,280,-0.2
10/12/2017,243,0.2
10/12/2017,169,0.3
10/12/2017,71,0.4
10/12/2017,13,0.3
10/12/2017,9,-0.5
10/12/2017,20,-0.4
10/12/2017,35,-0.2
10/12/2017,31,0.2
10/12/2017,19,0.5
10/12/2017,58,0.9
10/12/2017,119,2.3
10/12/2017,182,3.3
10/12/2017,235,4.2
10/12/2017,180,6.7
10/12/2017,214,5.4
10/12/2017,226,3.6
10/12/2017,210,2
10/12/2017,181,1.6
10/12/2017,165,0.6
10/12/2017,167,0
10/12/2017,152,-1
10/12/2017,148,-1.4
11/12/2017,125,-2.5
11/12/2017,111,-3.4
11/12/2017,67,-4.2
11/12/2017,45,-4.7
11/12/2017,44,-5.2
11/12/2017,86,-5.6
11/12/2017,136,-5.9
11/12/2017,325,-6
11/12/2017,653,-6
11/12/2017,326,-5.9
11/12/2017,212,-5.3
11/12/2017,226,-4.7
11/12/2017,247,-5.2
11/12/2017,241,-5.4
11/12/2017,253,-5.4
11/12/2017,269,-5.5
11/12/2017,277,-6
11/12/2017,361,-7.1
11/12/2017,557,-7.9
11/12/2017,371,-8.6
11/12/2017,254,-9.3
11/12/2017,266,-9.7
11/12/2017,222,-10.2
11/12/2017,174,-10.7
12/12/2017,133,-11
12/12/2017,127,-11.2
12/12/2017,95,-11.5
12/12/2017,54,-11.6
12/12/2017,46,-11.6
12/12/2017,65,-11.6
12/12/2017,104,-11.8
12/12/2017,280,-12.1
12/12/2017,580,-12.3
12/12/2017,275,-11.8
12/12/2017,184,-10.5
12/12/2017,201,-9.4
12/12/2017,228,-8.3
12/12/2017,225,-6.9
12/12/2017,258,-5.4
12/12/2017,250,-5.8
12/12/2017,248,-6
12/12/2017,305,-7
12/12/2017,529,-7.7
12/12/2017,350,-8.2
12/12/2017,260,-8.4
12/12/2017,270,-8.8
12/12/2017,256,-9
12/12/2017,173,-9.3
13/12/2017,168,-9.5
13/12/2017,183,-10.2
13/12/2017,120,-10.4
13/12/2017,79,-10.9
13/12/2017,41,-11.4
13/12/2017,68,-11.5
13/12/2017,109,-11.9
13/12/2017,310,-11.7
13/12/2017,591,-11.4
13/12/2017,340,-11.1
13/12/2017,202,-9.5
13/12/2017,251,-8.1
13/12/2017,267,-6.5
13/12/2017,251,-5.8
13/12/2017,240,-4.7
13/12/2017,240,-4.9
13/12/2017,278,-4.5
13/12/2017,392,-5.6
13/12/2017,537,-6.6
13/12/2017,373,-6.6
13/12/2017,263,-7.6
13/12/2017,271,-8.3
13/12/2017,271,-8.9
13/12/2017,174,-9.2
14/12/2017,171,-9.5
14/12/2017,170,-9.8
14/12/2017,107,-10.6
14/12/2017,80,-10.7
14/12/2017,52,-11
14/12/2017,62,-10.8
14/12/2017,108,-11
14/12/2017,279,-10.9
14/12/2017,621,-10.4
14/12/2017,305,-9.4
14/12/2017,189,-7.7
14/12/2017,247,-6.1
14/12/2017,278,-4.9
14/12/2017,282,-3.8
14/12/2017,294,-2.7
14/12/2017,301,-2.5
14/12/2017,335,-2.4
14/12/2017,382,-2.9
14/12/2017,612,-3.5
14/12/2017,410,-4.2
14/12/2017,277,-4.8
14/12/2017,316,-4.8
14/12/2017,309,-4.9
14/12/2017,211,-5.6
15/12/2017,227,-5.7
15/12/2017,241,-6.3
15/12/2017,162,-6.8
15/12/2017,110,-6.9
15/12/2017,69,-7.1
15/12/2017,68,-7.5
15/12/2017,129,-7.4
15/12/2017,285,-7
15/12/2017,658,-6.6
15/12/2017,330,-5.9
15/12/2017,221,-4.6
15/12/2017,279,-2.9
15/12/2017,309,-2.5
15/12/2017,325,-1.6
15/12/2017,329,-0.7
15/12/2017,342,0.1
15/12/2017,354,0
15/12/2017,464,-0.2
15/12/2017,682,0.1
15/12/2017,451,0.6
15/12/2017,320,0.9
15/12/2017,300,0.7
15/12/2017,296,-0.1
15/12/2017,247,-1.3
16/12/2017,217,-2.6
16/12/2017,302,-3.4
16/12/2017,228,-4.1
16/12/2017,129,-4.5
16/12/2017,80,-5
16/12/2017,45,-5.6
16/12/2017,66,-6.1
16/12/2017,90,-6.7
16/12/2017,190,-7.3
16/12/2017,195,-7.2
16/12/2017,201,-6.2
16/12/2017,239,-5.2
16/12/2017,252,-4.1
16/12/2017,296,-3.7
16/12/2017,292,-3.4
16/12/2017,291,-3.3
16/12/2017,258,-3.3
16/12/2017,277,-4.6
16/12/2017,212,-5.3
16/12/2017,173,-6
16/12/2017,143,-6.6
16/12/2017,159,-7.1
16/12/2017,155,-7.6
16/12/2017,142,-8
17/12/2017,175,-8.1
17/12/2017,146,-8.4
17/12/2017,132,-8.7
17/12/2017,100,-9
17/12/2017,41,-9.5
17/12/2017,31,-9.7
17/12/2017,39,-9.9
17/12/2017,53,-10.2
17/12/2017,94,-10.7
17/12/2017,122,-10.5
17/12/2017,142,-8.5
17/12/2017,189,-7.2
17/12/2017,216,-4.9
17/12/2017,223,-4.5
17/12/2017,268,-3.2
17/12/2017,278,-2.5
17/12/2017,256,-2.7
17/12/2017,266,-3.8
17/12/2017,204,-4.7
17/12/2017,157,-5.6
17/12/2017,166,-6
17/12/2017,168,-6.5
17/12/2017,172,-6.6
17/12/2017,138,-6.9
18/12/2017,151,-5.9
18/12/2017,97,-5.3
18/12/2017,38,-5
18/12/2017,32,-5.3
18/12/2017,29,-5.4
18/12/2017,27,-5.3
18/12/2017,45,-5.2
18/12/2017,96,-5
18/12/2017,146,-4.6
18/12/2017,52,-4.3
18/12/2017,36,-3.7
18/12/2017,44,-2.9
18/12/2017,62,-1.8
18/12/2017,76,-0.9
18/12/2017,116,0.5
18/12/2017,137,1.6
18/12/2017,181,1.8
18/12/2017,175,0.4
18/12/2017,281,0
18/12/2017,198,1.3
18/12/2017,165,3.3
18/12/2017,148,2.8
18/12/2017,160,1.5
18/12/2017,128,0.1
19/12/2017,122,-1
19/12/2017,122,-2
19/12/2017,93,-2.7
19/12/2017,55,-2.8
19/12/2017,39,-2.9
19/12/2017,55,-3.9
19/12/2017,78,-4.3
19/12/2017,165,-4.4
19/12/2017,390,-5.2
19/12/2017,199,-5.3
19/12/2017,151,-4.6
19/12/2017,174,-3.5
19/12/2017,191,-2.5
19/12/2017,189,-2.2
19/12/2017,178,-2.2
19/12/2017,195,-1.3
19/12/2017,211,-1.8
19/12/2017,256,-2.7
19/12/2017,384,-3.8
19/12/2017,276,-4.5
19/12/2017,225,-4.9
19/12/2017,224,-5
19/12/2017,213,-5.5
19/12/2017,149,-5.8
20/12/2017,142,-6.5
20/12/2017,172,-7.3
20/12/2017,108,-7.8
20/12/2017,71,-8.1
20/12/2017,38,-8.5
20/12/2017,56,-8.3
20/12/2017,97,-8.2
20/12/2017,213,-8.1
20/12/2017,466,-7.8
20/12/2017,239,-6.7
20/12/2017,162,-5.4
20/12/2017,204,-4.2
20/12/2017,209,-3.2
20/12/2017,228,-1.3
20/12/2017,243,-0.5
20/12/2017,240,-0.2
20/12/2017,225,-0.5
20/12/2017,237,-0.9
20/12/2017,329,-1.4
20/12/2017,190,-1.5
20/12/2017,165,-1.9
20/12/2017,197,-2
20/12/2017,184,-1.6
20/12/2017,153,-1.1
21/12/2017,166,-1.3
21/12/2017,189,-1.8
21/12/2017,132,-2.2
21/12/2017,79,-2.9
21/12/2017,58,-3.6
21/12/2017,49,-4.3
21/12/2017,84,-4.8
21/12/2017,178,-5.3
21/12/2017,423,-5.6
21/12/2017,265,-5.3
21/12/2017,169,-3
21/12/2017,243,-0.7
21/12/2017,290,1.9
21/12/2017,285,3.2
21/12/2017,255,4.3
21/12/2017,316,4.4
21/12/2017,301,4.1
21/12/2017,366,2.9
21/12/2017,531,1.7
21/12/2017,355,0.8
21/12/2017,288,0.2
21/12/2017,248,-0.4
21/12/2017,252,-1.1
21/12/2017,212,-1.5
22/12/2017,196,-1.7
22/12/2017,250,-1.6
22/12/2017,161,-1.1
22/12/2017,99,-0.6
22/12/2017,64,-0.3
22/12/2017,76,-0.2
22/12/2017,114,-0.1
22/12/2017,283,-0.3
22/12/2017,544,-0.4
22/12/2017,298,0.3
22/12/2017,248,1.4
22/12/2017,278,3.1
22/12/2017,301,4.5
22/12/2017,320,5.4
22/12/2017,326,5.9
22/12/2017,386,6.5
22/12/2017,416,6
22/12/2017,477,5.4
22/12/2017,671,4.9
22/12/2017,481,5.2
22/12/2017,323,5.9
22/12/2017,309,6.1
22/12/2017,314,6.1
22/12/2017,249,5.8
23/12/2017,282,5.8
23/12/2017,337,5.7
23/12/2017,312,5.6
23/12/2017,230,5.4
23/12/2017,120,5.3
23/12/2017,59,5
23/12/2017,63,5.1
23/12/2017,99,5.1
23/12/2017,188,5.1
23/12/2017,239,5.2
23/12/2017,235,5.4
23/12/2017,282,5.7
23/12/2017,325,7
23/12/2017,423,7.7
23/12/2017,405,8.6
23/12/2017,443,8.6
23/12/2017,473,8.2
23/12/2017,453,7.7
23/12/2017,340,6.6
23/12/2017,260,6
23/12/2017,258,5.9
23/12/2017,279,5.6
23/12/2017,282,5.3
23/12/2017,237,5.5
24/12/2017,266,5.6
24/12/2017,251,5.6
24/12/2017,196,5.4
24/12/2017,149,5.2
24/12/2017,79,5.2
24/12/2017,44,5.1
24/12/2017,12,4.9
24/12/2017,3,4.7
24/12/2017,4,4.6
24/12/2017,3,4.6
24/12/2017,4,4.8
24/12/2017,9,4.6
24/12/2017,4,4.1
24/12/2017,7,3.7
24/12/2017,28,3.3
24/12/2017,38,2.9
24/12/2017,54,2.3
24/12/2017,104,2.2
24/12/2017,128,1.9
24/12/2017,132,1.1
24/12/2017,116,0.6
24/12/2017,145,0.4
24/12/2017,110,0.2
24/12/2017,128,0
25/12/2017,160,-0.6
25/12/2017,132,-1.2
25/12/2017,115,-1.8
25/12/2017,100,-2.3
25/12/2017,72,-3
25/12/2017,32,-3.7
25/12/2017,59,-4.1
25/12/2017,61,-4.6
25/12/2017,94,-4.9
25/12/2017,107,-4.6
25/12/2017,133,-3.7
25/12/2017,179,-2.8
25/12/2017,221,-1.6
25/12/2017,244,-1.5
25/12/2017,274,-0.4
25/12/2017,319,0.4
25/12/2017,272,0.4
25/12/2017,260,-0.7
25/12/2017,237,-1.6
25/12/2017,184,-1.8
25/12/2017,181,-2.1
25/12/2017,185,-1.7
25/12/2017,176,-1.3
25/12/2017,169,-1
26/12/2017,178,-1.4
26/12/2017,127,-1.5
26/12/2017,85,-2.1
26/12/2017,72,-2.6
26/12/2017,49,-2.6
26/12/2017,65,-2.9
26/12/2017,120,-2.8
26/12/2017,296,-2.9
26/12/2017,578,-2.7
26/12/2017,293,-2.8
26/12/2017,180,-2.2
26/12/2017,250,-2.1
26/12/2017,262,-1.3
26/12/2017,262,-2
26/12/2017,271,-1.6
26/12/2017,246,-1.9
26/12/2017,282,-1.9
26/12/2017,350,-3.6
26/12/2017,481,-4.7
26/12/2017,317,-5.4
26/12/2017,252,-6.1
26/12/2017,220,-6.6
26/12/2017,213,-7.2
26/12/2017,156,-7.5
27/12/2017,133,-7.9
27/12/2017,142,-8.2
27/12/2017,93,-8.6
27/12/2017,81,-9.1
27/12/2017,55,-9.1
27/12/2017,66,-9.4
27/12/2017,105,-9.8
27/12/2017,262,-10.1
27/12/2017,502,-10.2
27/12/2017,279,-9.8
27/12/2017,146,-8.5
27/12/2017,213,-6.8
27/12/2017,230,-5.5
27/12/2017,258,-4.7
27/12/2017,231,-4
27/12/2017,228,-3.1
27/12/2017,269,-3.2
27/12/2017,314,-4.2
27/12/2017,466,-5.2
27/12/2017,315,-5.5
27/12/2017,262,-5.9
27/12/2017,242,-6.4
27/12/2017,243,-6.4
27/12/2017,216,-6.3
28/12/2017,164,-6.5
28/12/2017,169,-6.6
28/12/2017,163,-6.6
28/12/2017,86,-6
28/12/2017,50,-5.8
28/12/2017,61,-5.7
28/12/2017,103,-5.5
28/12/2017,257,-5
28/12/2017,554,-4.7
28/12/2017,326,-4.3
28/12/2017,225,-3.4
28/12/2017,288,-2.1
28/12/2017,286,-0.8
28/12/2017,301,0.8
28/12/2017,311,0.8
28/12/2017,303,0.4
28/12/2017,390,0.3
28/12/2017,407,0.2
28/12/2017,552,-0.6
28/12/2017,402,-0.4
28/12/2017,319,-0.3
28/12/2017,332,-0.2
28/12/2017,285,0
28/12/2017,260,0.1
29/12/2017,233,0.2
29/12/2017,269,0.3
29/12/2017,210,0.5
29/12/2017,135,0.6
29/12/2017,85,0.6
29/12/2017,67,0.7
29/12/2017,128,0.8
29/12/2017,289,0.9
29/12/2017,636,1
29/12/2017,353,1.2
29/12/2017,252,1.9
29/12/2017,317,3.1
29/12/2017,363,4.3
29/12/2017,370,5.2
29/12/2017,419,5.7
29/12/2017,426,5.7
29/12/2017,504,5.4
29/12/2017,534,4.5
29/12/2017,574,3.6
29/12/2017,395,2.7
29/12/2017,292,1.7
29/12/2017,282,1
29/12/2017,294,0.8
29/12/2017,236,0.3
30/12/2017,240,-0.4
30/12/2017,234,-0.5
30/12/2017,192,-0.9
30/12/2017,127,-1.1
30/12/2017,86,-1.1
30/12/2017,52,-1.2
30/12/2017,62,-1.1
30/12/2017,88,-0.7
30/12/2017,162,-0.4
30/12/2017,224,0.2
30/12/2017,208,0.8
30/12/2017,237,2
30/12/2017,274,3.2
30/12/2017,333,4
30/12/2017,356,4.3
30/12/2017,337,4.3
30/12/2017,345,4.1
30/12/2017,183,3.8
30/12/2017,45,3
30/12/2017,40,2.3
30/12/2017,66,1.9
30/12/2017,64,1.8
30/12/2017,30,1.8
30/12/2017,42,1.4
31/12/2017,43,0.9
31/12/2017,43,0.5
31/12/2017,65,0.4
31/12/2017,65,0.3
31/12/2017,32,-0.2
31/12/2017,22,-0.8
31/12/2017,25,-1.3
31/12/2017,39,-1.8
31/12/2017,84,-2.1
31/12/2017,103,-1.9
31/12/2017,110,-0.5
31/12/2017,142,0.8
31/12/2017,209,1.4
31/12/2017,267,2.5
31/12/2017,262,3
31/12/2017,300,3.1
31/12/2017,272,2.7
31/12/2017,240,1.7
31/12/2017,215,0.7
31/12/2017,163,0
31/12/2017,161,-1
31/12/2017,179,-1.6
31/12/2017,155,-2.1
31/12/2017,227,-2.6
01/01/2018,206,-3.2
01/01/2018,230,-3.3
01/01/2018,178,-3.7
01/01/2018,119,-4
01/01/2018,62,-4.2
01/01/2018,61,-4.4
01/01/2018,65,-4.5
01/01/2018,81,-4.7
01/01/2018,89,-5
01/01/2018,121,-4.3
01/01/2018,139,-1.6
01/01/2018,169,0.1
01/01/2018,225,1.5
01/01/2018,248,2.4
01/01/2018,298,3.7
01/01/2018,344,3
01/01/2018,310,3
01/01/2018,271,1.8
01/01/2018,218,0.8
01/01/2018,125,-0.1
01/01/2018,206,-0.3
01/01/2018,203,-0.9
01/01/2018,168,-1.3
01/01/2018,154,-1.6
02/01/2018,148,-1.8
02/01/2018,108,-2.1
02/01/2018,69,-2.3
02/01/2018,41,-2.5
02/01/2018,31,-2.7
02/01/2018,58,-3.1
02/01/2018,139,-3.2
02/01/2018,344,-3.2
02/01/2018,655,-3.4
02/01/2018,315,-3.1
02/01/2018,208,-1.4
02/01/2018,269,-0.4
02/01/2018,293,0.9
02/01/2018,273,1.5
02/01/2018,302,1.7
02/01/2018,295,1.5
02/01/2018,320,1.3
02/01/2018,373,0.3
02/01/2018,675,-0.8
02/01/2018,403,-1.3
02/01/2018,364,-1.9
02/01/2018,304,-2.6
02/01/2018,273,-3.4
02/01/2018,186,-3.8
03/01/2018,160,-4.3
03/01/2018,130,-5
03/01/2018,110,-5.5
03/01/2018,67,-6.1
03/01/2018,43,-6.1
03/01/2018,67,-6.4
03/01/2018,137,-6.7
03/01/2018,308,-6.9
03/01/2018,670,-7
03/01/2018,342,-6.8
03/01/2018,213,-5.6
03/01/2018,267,-4.5
03/01/2018,297,-3.4
03/01/2018,279,-2.2
03/01/2018,270,-1.5
03/01/2018,286,-1.1
03/01/2018,299,-0.4
03/01/2018,382,-1.9
03/01/2018,637,-3.1
03/01/2018,431,-3.7
03/01/2018,294,-3.9
03/01/2018,335,-4.3
03/01/2018,291,-5.2
03/01/2018,197,-5.9
04/01/2018,159,-6.3
04/01/2018,150,-6.9
04/01/2018,123,-7.3
04/01/2018,57,-7.4
04/01/2018,38,-7.5
04/01/2018,66,-7.6
04/01/2018,120,-7.6
04/01/2018,302,-8.1
04/01/2018,646,-8.6
04/01/2018,340,-7.9
04/01/2018,197,-6.4
04/01/2018,264,-4.4
04/01/2018,290,-2.9
04/01/2018,284,-2
04/01/2018,262,-0.8
04/01/2018,281,-1.2
04/01/2018,309,-1.4
04/01/2018,397,-2.1
04/01/2018,603,-2.6
04/01/2018,417,-2.7
04/01/2018,311,-2.8
04/01/2018,310,-3.1
04/01/2018,306,-3.6
04/01/2018,221,-4
05/01/2018,202,-4.7
05/01/2018,170,-5.1
05/01/2018,118,-5.3
05/01/2018,67,-5.5
05/01/2018,47,-5.1
05/01/2018,75,-5.1
05/01/2018,123,-5.1
05/01/2018,327,-5.3
05/01/2018,665,-5.3
05/01/2018,354,-4.7
05/01/2018,232,-3.3
05/01/2018,308,-0.7
05/01/2018,362,-0.3
05/01/2018,312,0.9
05/01/2018,343,1.4
05/01/2018,333,1.5
05/01/2018,329,1
05/01/2018,446,-0.6
05/01/2018,635,-1.8
05/01/2018,443,-2.5
05/01/2018,322,-3.4
05/01/2018,284,-3.5
05/01/2018,281,-3.8
05/01/2018,189,-3.6
06/01/2018,184,-4.3
06/01/2018,222,-4.8
06/01/2018,176,-5.5
06/01/2018,103,-5.6
06/01/2018,61,-5.9
06/01/2018,48,-6.1
06/01/2018,69,-6.5
06/01/2018,105,-6.6
06/01/2018,186,-6.5
06/01/2018,221,-5.8
06/01/2018,204,-3.5
06/01/2018,245,-1.6
06/01/2018,283,0
06/01/2018,356,0.9
06/01/2018,370,1.8
06/01/2018,373,2.3
06/01/2018,352,2.7
06/01/2018,354,1.1
06/01/2018,271,-0.6
06/01/2018,207,-1.2
06/01/2018,189,-2.1
06/01/2018,214,-2.5
06/01/2018,218,-2.6
06/01/2018,169,-3.2
07/01/2018,192,-3.8
07/01/2018,162,-3.9
07/01/2018,128,-4.4
07/01/2018,102,-4.8
07/01/2018,62,-5.1
07/01/2018,40,-5.6
07/01/2018,38,-5.5
07/01/2018,60,-5.6
07/01/2018,122,-5.3
07/01/2018,143,-3.8
07/01/2018,179,-1.8
07/01/2018,214,0.5
07/01/2018,278,1.1
07/01/2018,265,1.4
07/01/2018,331,1.9
07/01/2018,368,2.7
07/01/2018,333,2.6
07/01/2018,349,2.3
07/01/2018,270,1.8
07/01/2018,246,1.6
07/01/2018,233,1.3
07/01/2018,236,1.2
07/01/2018,214,1.1
07/01/2018,149,1.1
08/01/2018,149,0.9
08/01/2018,109,0.9
08/01/2018,77,0.8
08/01/2018,53,0.9
08/01/2018,46,1
08/01/2018,67,0.8
08/01/2018,159,0.8
08/01/2018,374,0.7
08/01/2018,701,0.7
08/01/2018,387,0.8
08/01/2018,253,1.3
08/01/2018,278,1.7
08/01/2018,356,2.7
08/01/2018,303,3
08/01/2018,349,3.4
08/01/2018,318,3.9
08/01/2018,353,3.5
08/01/2018,385,2.7
08/01/2018,316,1.5
08/01/2018,127,0.9
08/01/2018,144,1
08/01/2018,146,0.7
08/01/2018,149,0.1
08/01/2018,112,-0.6
09/01/2018,100,-1.2
09/01/2018,107,-1.9
09/01/2018,75,-2.9
09/01/2018,52,-3.4
09/01/2018,38,-4.3
09/01/2018,52,-5.1
09/01/2018,126,-5.6
09/01/2018,245,-5.9
09/01/2018,554,-6
09/01/2018,320,-6
09/01/2018,190,-4.8
09/01/2018,247,-3.9
09/01/2018,262,-2.7
09/01/2018,265,-2.6
09/01/2018,265,-1.8
09/01/2018,257,-2.4
09/01/2018,262,-2.4
09/01/2018,332,-2.9
09/01/2018,558,-3.8
09/01/2018,364,-4.5
09/01/2018,302,-4.9
09/01/2018,281,-4.8
09/01/2018,166,-4.2
09/01/2018,80,-4.9
10/01/2018,61,-5.2
10/01/2018,78,-5.6
10/01/2018,63,-5.7
10/01/2018,40,-6.1
10/01/2018,31,-6.6
10/01/2018,39,-7.3
10/01/2018,84,-7.7
10/01/2018,158,-8
10/01/2018,387,-7.9
10/01/2018,225,-7.7
10/01/2018,150,-6.9
10/01/2018,168,-6.4
10/01/2018,217,-5.6
10/01/2018,207,-5.1
10/01/2018,177,-5.3
10/01/2018,193,-5.3
10/01/2018,196,-5.4
10/01/2018,266,-6.5
10/01/2018,437,-7.8
10/01/2018,259,-8.5
10/01/2018,207,-8.9
10/01/2018,214,-9.4
10/01/2018,165,-9.7
10/01/2018,139,-10.2
11/01/2018,98,-10.3
11/01/2018,100,-10.6
11/01/2018,89,-10.9
11/01/2018,38,-11.2
11/01/2018,33,-11.5
11/01/2018,42,-11.9
11/01/2018,82,-12
11/01/2018,203,-12.3
11/01/2018,443,-12.6
11/01/2018,227,-12
11/01/2018,152,-11.1
11/01/2018,146,-10.2
11/01/2018,187,-8.6
11/01/2018,178,-8.6
11/01/2018,187,-7.4
11/01/2018,181,-8.3
11/01/2018,179,-8.2
11/01/2018,219,-9.3
11/01/2018,352,-10.4
11/01/2018,251,-10.9
11/01/2018,177,-11.6
11/01/2018,162,-12.4
11/01/2018,172,-12.9
11/01/2018,119,-13.2
12/01/2018,105,-13.6
12/01/2018,99,-13.7
12/01/2018,83,-13.8
12/01/2018,42,-14.1
12/01/2018,30,-14.3
12/01/2018,35,-14.6
12/01/2018,92,-14.9
12/01/2018,189,-15.1
12/01/2018,419,-15.1
12/01/2018,196,-14.9
12/01/2018,119,-13
12/01/2018,140,-11.2
12/01/2018,178,-9.6
12/01/2018,177,-8.2
12/01/2018,173,-7.2
12/01/2018,177,-6.5
12/01/2018,196,-5.8
12/01/2018,259,-6.5
12/01/2018,405,-7.5
12/01/2018,273,-8.2
12/01/2018,210,-7.9
12/01/2018,184,-7.4
12/01/2018,186,-6.9
12/01/2018,144,-6.7
